pit: -0.44, rol: 0.26, yaw: -0.28, acc_x: 824, acc_y: 1404, acc_z: 14486, gyr_x: -62, gyr_y: 69, gyr_z: 15, temp: 1317
pit: -0.97, rol: -0.10, yaw: -0.42, acc_x: 1286, acc_y: 1506, acc_z: 14552, gyr_x: -7, gyr_y: 105, gyr_z: 87, temp: 1317
pit: -1.41, rol: -0.37, yaw: -0.32, acc_x: 1528, acc_y: 1144, acc_z: 14530, gyr_x: 4, gyr_y: 115, gyr_z: 57, temp: 1317
pit: -1.64, rol: -0.63, yaw: -0.59, acc_x: 762, acc_y: 1090, acc_z: 14596, gyr_x: -46, gyr_y: -13, gyr_z: -24, temp: 1317
pit: -1.76, rol: -0.75, yaw: -0.86, acc_x: 1376, acc_y: 1158, acc_z: 14122, gyr_x: 69, gyr_y: -1, gyr_z: 1, temp: 1317
pit: -1.85, rol: -0.71, yaw: -1.38, acc_x: 704, acc_y: 1140, acc_z: 14724, gyr_x: -17, gyr_y: -120, gyr_z: -17, temp: 1318
pit: -2.01, rol: -0.73, yaw: -1.71, acc_x: 750, acc_y: 1492, acc_z: 14616, gyr_x: -98, gyr_y: -100, gyr_z: -5, temp: 1320
pit: -2.16, rol: -0.91, yaw: -2.03, acc_x: 1264, acc_y: 1358, acc_z: 14878, gyr_x: 34, gyr_y: -8, gyr_z: 0, temp: 1318
pit: -2.33, rol: -0.70, yaw: -2.51, acc_x: 864, acc_y: 1792, acc_z: 14756, gyr_x: -54, gyr_y: -3, gyr_z: -39, temp: 1319
pit: -2.76, rol: -0.91, yaw: -2.92, acc_x: 1924, acc_y: 1706, acc_z: 14246, gyr_x: -58, gyr_y: -38, gyr_z: -65, temp: 1322
pit: -3.03, rol: -1.28, yaw: -4.50, acc_x: 766, acc_y: 1548, acc_z: 14172, gyr_x: -26, gyr_y: 184, gyr_z: -314, temp: 1320
pit: -2.94, rol: -1.40, yaw: -6.04, acc_x: 534, acc_y: 1940, acc_z: 14326, gyr_x: -93, gyr_y: -69, gyr_z: -110, temp: 1321
pit: -2.66, rol: -1.87, yaw: -6.09, acc_x: 1230, acc_y: 1220, acc_z: 14858, gyr_x: -76, gyr_y: 117, gyr_z: 116, temp: 1321
pit: -3.02, rol: -2.28, yaw: -6.22, acc_x: 608, acc_y: 1154, acc_z: 14210, gyr_x: -97, gyr_y: -29, gyr_z: 42, temp: 1321
pit: -3.20, rol: -2.68, yaw: -6.15, acc_x: 408, acc_y: 1320, acc_z: 13976, gyr_x: -69, gyr_y: -85, gyr_z: 59, temp: 1320
pit: -2.95, rol: -2.99, yaw: -5.69, acc_x: 852, acc_y: 1946, acc_z: 14378, gyr_x: -53, gyr_y: -32, gyr_z: 146, temp: 1320
pit: -3.30, rol: -3.91, yaw: -5.47, acc_x: -328, acc_y: 760, acc_z: 14644, gyr_x: -121, gyr_y: -386, gyr_z: 29, temp: 1321
pit: -3.28, rol: -4.31, yaw: -4.68, acc_x: -1680, acc_y: 870, acc_z: 14824, gyr_x: -120, gyr_y: -142, gyr_z: -64, temp: 1322
pit: -4.36, rol: -4.17, yaw: -3.92, acc_x: 898, acc_y: 2186, acc_z: 15374, gyr_x: 80, gyr_y: 241, gyr_z: 464, temp: 1322
pit: -3.62, rol: -3.43, yaw: -0.28, acc_x: 2686, acc_y: 464, acc_z: 14108, gyr_x: 36, gyr_y: -10, gyr_z: 748, temp: 1322
pit: -3.68, rol: -3.29, yaw: 2.80, acc_x: 4140, acc_y: 532, acc_z: 14062, gyr_x: 193, gyr_y: 178, gyr_z: 265, temp: 1322
pit: -3.37, rol: -3.43, yaw: 2.09, acc_x: 2944, acc_y: 268, acc_z: 14138, gyr_x: -74, gyr_y: -41, gyr_z: -324, temp: 1322
pit: -3.04, rol: -3.60, yaw: -0.58, acc_x: 692, acc_y: 1140, acc_z: 13664, gyr_x: -82, gyr_y: 4, gyr_z: -376, temp: 1323
pit: -4.25, rol: -5.34, yaw: -2.45, acc_x: 862, acc_y: -176, acc_z: 16770, gyr_x: -157, gyr_y: -130, gyr_z: -142, temp: 1323
pit: -5.75, rol: -5.18, yaw: -2.73, acc_x: 1410, acc_y: 30, acc_z: 15144, gyr_x: 176, gyr_y: -85, gyr_z: -50, temp: 1323
pit: -6.75, rol: -3.87, yaw: -1.65, acc_x: 2666, acc_y: 1572, acc_z: 14610, gyr_x: 167, gyr_y: -31, gyr_z: 459, temp: 1325
pit: -6.91, rol: -3.01, yaw: 0.88, acc_x: 3174, acc_y: 1092, acc_z: 13770, gyr_x: 157, gyr_y: -261, gyr_z: 372, temp: 1322
pit: -8.29, rol: -2.91, yaw: 2.50, acc_x: 3174, acc_y: 444, acc_z: 15656, gyr_x: 62, gyr_y: -249, gyr_z: 149, temp: 1323
pit: -8.81, rol: -1.83, yaw: 3.03, acc_x: 1186, acc_y: 640, acc_z: 14598, gyr_x: 196, gyr_y: -154, gyr_z: 139, temp: 1325
pit: -9.61, rol: -0.86, yaw: 3.73, acc_x: 1484, acc_y: 2894, acc_z: 13102, gyr_x: -20, gyr_y: 60, gyr_z: 254, temp: 1323
pit: -9.05, rol: -1.15, yaw: 5.42, acc_x: 2804, acc_y: 2106, acc_z: 14754, gyr_x: -7, gyr_y: 20, gyr_z: 330, temp: 1325
pit: -8.43, rol: -0.22, yaw: 6.83, acc_x: 2640, acc_y: 3916, acc_z: 12892, gyr_x: 136, gyr_y: 59, gyr_z: 208, temp: 1325
pit: -8.30, rol: 0.38, yaw: 7.72, acc_x: 3026, acc_y: 2974, acc_z: 12926, gyr_x: -42, gyr_y: -33, gyr_z: 196, temp: 1326
pit: -9.01, rol: -0.39, yaw: 7.41, acc_x: 2948, acc_y: 2654, acc_z: 15420, gyr_x: -254, gyr_y: -424, gyr_z: -175, temp: 1326
pit: -11.32, rol: -1.70, yaw: 5.76, acc_x: 672, acc_y: -952, acc_z: 15356, gyr_x: 43, gyr_y: -453, gyr_z: -192, temp: 1326
pit: -12.06, rol: -1.33, yaw: 5.52, acc_x: 1876, acc_y: 1370, acc_z: 14996, gyr_x: -48, gyr_y: 118, gyr_z: 239, temp: 1324
pit: -10.65, rol: -1.17, yaw: 7.13, acc_x: 3028, acc_y: 924, acc_z: 14496, gyr_x: 237, gyr_y: 147, gyr_z: 271, temp: 1326
pit: -10.09, rol: -0.13, yaw: 8.22, acc_x: 2412, acc_y: 1762, acc_z: 14436, gyr_x: -11, gyr_y: 375, gyr_z: 205, temp: 1325
pit: -8.40, rol: 0.14, yaw: 9.67, acc_x: 4262, acc_y: 1880, acc_z: 15088, gyr_x: 220, gyr_y: 117, gyr_z: 368, temp: 1328
pit: -7.88, rol: 0.94, yaw: 10.36, acc_x: 3444, acc_y: 2912, acc_z: 13670, gyr_x: -23, gyr_y: 241, gyr_z: 128, temp: 1324
pit: -5.83, rol: 0.70, yaw: 10.72, acc_x: 1296, acc_y: 2508, acc_z: 16568, gyr_x: 98, gyr_y: -132, gyr_z: 80, temp: 1326
