lat,lon,alt,pit,rol,yaw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
38.92981,121.65262,136.3,-1.15,-5.06,-163.65,328.0,-170.0,13862.0,9.0,-6.0,58.0
38.92977,121.65259,142.7,0.29,-4.19,-147.11,-162.0,-224.0,13862.0,121.0,-36.0,248.0
38.92971,121.65255,197.1,0.47,-6.15,-137.56,1064.0,-538.0,13228.0,81.0,85.0,-33.0
38.92971,121.65255,205.1,-0.22,-7.05,-138.47,1572.0,-1642.0,13268.0,12.0,-16.0,-55.0
38.9297,121.65254,205.1,-1.28,-5.93,-144.15,352.0,-3846.0,14114.0,-146.0,234.0,2.0
38.9297,121.65254,205.1,-1.24,-6.93,-145.09,1160.0,-2530.0,14674.0,-1061.0,-82.0,-20.0
38.9297,121.65254,205.1,-0.09,-27.24,-130.44,1906.0,-4974.0,13306.0,-47.0,19.0,-3.0
38.9297,121.65254,205.1,-3.69,-27.03,-132.41,1472.0,-4622.0,13418.0,-32.0,-6.0,8.0
38.92817,121.65225,132.6,-1.81,-20.05,-124.83,362.0,-4838.0,13560.0,132.0,-47.0,-378.0
38.92817,121.65225,132.6,-1.87,-19.93,-124.86,1336.0,-4452.0,13648.0,200.0,269.0,-20.0
38.92819,121.65225,139.2,-1.4,-14.59,-135.75,1568.0,-2862.0,14948.0,399.0,462.0,-129.0
38.9282,121.65224,141.5,-1.57,-15.91,-136.28,-1084.0,-2714.0,12852.0,-584.0,-106.0,-343.0
38.92821,121.65222,138.5,2.86,-15.64,-132.87,-1290.0,-1976.0,14184.0,-200.0,-282.0,75.0
38.92823,121.65221,138.4,2.32,-15.31,-131.35,634.0,-3160.0,11866.0,24.0,-34.0,220.0
38.92825,121.65216,134.4,1.3,-11.73,-103.33,476.0,-2024.0,12570.0,-62.0,-32.0,-230.0
38.92825,121.65215,133.9,1.82,-12.27,-105.11,-526.0,-692.0,13358.0,148.0,-35.0,32.0
38.92827,121.65211,118.3,2.91,-13.1,-99.39,226.0,-1974.0,15626.0,-35.0,-278.0,115.0
38.92827,121.6521,109.8,2.71,-12.45,-98.58,1224.0,-1940.0,13104.0,-32.0,222.0,65.0
38.92834,121.65208,87.0,-4.76,-10.87,-90.64,158.0,-360.0,11242.0,73.0,395.0,30.0
38.92836,121.65206,78.9,-3.81,-11.52,-90.97,848.0,-2010.0,17314.0,-70.0,-272.0,257.0
38.92845,121.65206,61.1,-2.0,-9.35,-81.01,498.0,-120.0,13314.0,54.0,1.0,-318.0
38.92846,121.65206,59.9,-2.0,-9.0,-81.06,-530.0,-850.0,11554.0,-69.0,341.0,-34.0
38.92852,121.65204,44.2,0.64,-9.53,-75.24,188.0,96.0,12548.0,80.0,-146.0,38.0
